asn,prefix,assignBy,assignedTo
AS13335,45.192.224.0/24,ARIN,CLOUDFLARENET (USA)
AS13335,156.243.83.0/24,ARIN,CLOUDFLARENET (USA)
AS13335,209.55.246.0/23,ARIN,CLOUDFLARENET (USA)
AS15169,8.8.8.0/24,ARIN,GOOGLE (USA)
AS15169,142.250.0.0/15,ARIN,GOOGLE (USA)
AS15169,199.36.154.0/23,ARIN,GOOGLE (USA)
AS15169,34.190.208.0/20,ARIN,GOOGLE (USA)
AS7018,107.202.0.0/18,ARIN,ATT (USA)
AS7018,107.129.0.0/18,ARIN,ATT (USA)
AS52320,138.0.40.0/22,LACNIC,GlobeNet (CO)
AS52320,200.16.68.0/22,LACNIC,GlobeNet (CO)
AS6471,190.151.64.0/24,LACNIC,ENTEL (CL)
AS6471,164.77.157.0/24,LACNIC,ENTEL (CL)
AS27699,189.0.32.0/20,LACNIC,TELEFONICA (BR)
AS27699,177.9.0.0/16,LACNIC,TELEFONICA (BR)
AS27699,201.95.0.0/16,LACNIC,TELEFONICA (BR)
AS1299,153.112.201.0/24,RIPE,Arelion (SE),RIPE
AS1299,2.22.36.0/22,Arelion (Se),RIPE
AS20485,83.234.128.0/19 ,RIPE, TransTeleCom (RU)
AS3320,82.27.105.0/24,RIPE,DeutscheTelekom (DE)
AS3320,217.181.64.0/21,RIPE,DeutscheTelekom (De)
AS36996,41.182.0.0/16,AFRINIC,TELECOM (NA)
AS36996,196.44.128.0/19,AFRINIC,TELECOM (NA)
AS36996,197.188.0.0/16,AFRINIC,TELECOM (NA)
AS328352,102.135.189.0/24,AFRINIC,UN-AS (CM)
AS37693,41.228.48.0/24,AFRINIC,TUNISIANA (TN)
AS37693,196.203.76.0/24,AFRINIC,TUNISIANA (TN)
AS37332,41.173.214.0/24,AFRINIC,ZOL (ZW)
AS17494,123.49.32.0/21,APNIC,BTTB (BD)
AS17494,180.211.206.0/24,APNIC,BTTB (BD)
AS17494,209.58.24.0/24,APNIC,BTTB (BD)
AS4755,115.112.0.0/17,APNIC,TATA (IN)
AS4755,5.157.88.0/24,APNIC,TATA (IN)
AS4637,82.29.26.0/24,APNIC,TelstraGlobal (HK)
AS4637,82.21.134.0/24,APNIC,TelstraGlobal (AU)
AS4804,110.33.21.0/26,APNIC,Microplex (AU)
